#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
17341981|2017-10-15T03:12:43.700000|37.3812|16.3365|24.6|SURVEY-INGV||||ML|2.4|--|Mar Ionio Meridionale (MARE)
17342131|2017-10-15T03:17:41.000000|40.824|14.426|1.6|SURVEY-INGV-OV||||Md|2.5|--|5 km SE Massa di Somma (NA)
17344571|2017-10-15T09:51:47.410000|37.003|16.3672|15.0|SURVEY-INGV||||ML|3.5|--|Mar Ionio Meridionale (MARE)
17345931|2017-10-15T13:08:24.760000|42.9653|13.0327|8.4|SURVEY-INGV||||ML|2.2|--|4 km SE Monte Cavallo (MC)
17346471|2017-10-15T14:16:23.460000|37.741|12.7528|5.9|SURVEY-INGV||||ML|2.8|--|8 km NW Castelvetrano (TP)
17346961|2017-10-15T14:34:30.000000|38.576|14.474|18.2|SURVEY-INGV||||ML|2.8|--|Isole Eolie (Messina)
17347481|2017-10-15T16:11:51.750000|42.917|12.6275|9.0|SURVEY-INGV||||ML|2.1|--|2 km SE Bevagna (PG)
17347791|2017-10-15T16:43:32.620000|42.8277|13.0757|8.4|SURVEY-INGV||||ML|3.2|--|4 km NW Norcia (PG)
17348261|2017-10-15T17:15:46.010000|42.7987|13.1387|10.1|SURVEY-INGV||||ML|2.1|--|4 km E Norcia (PG)
17349341|2017-10-15T20:08:13.970000|39.9978|16.167|30.4|SURVEY-INGV||||ML|2.0|--|3 km SE San Severino Lucano (PZ)
17349541|2017-10-15T21:17:36.050000|43.0108|13.0627|8.8|SURVEY-INGV||||ML|2.2|--|4 km SW Fiordimonte (MC)
17353031|2017-10-16T00:21:14.880000|37.7408|12.7533|6.4|SURVEY-INGV||||Md|2.1|--|8 km NW Castelvetrano (TP)
17352571|2017-10-16T03:41:39.550000|37.7485|12.7702|3.0|SURVEY-INGV||||Md|2.2|--|8 km N Castelvetrano (TP)
17350851|2017-10-16T03:45:58.580000|41.8645|14.1833|16.4|SURVEY-INGV||||ML|2.7|--|2 km NW Ateleta (AQ)
17353671|2017-10-16T10:20:05.860000|42.8227|13.0803|9.0|SURVEY-INGV||||ML|2.0|--|3 km NW Norcia (PG)
17354601|2017-10-16T11:53:03.150000|42.8317|13.1117|9.5|SURVEY-INGV||||ML|2.8|--|5 km NE Norcia (PG)
17355541|2017-10-16T13:22:49.800000|42.7502|13.1783|10.8|SURVEY-INGV||||ML|2.9|--|8 km NW Accumoli (RI)
17355701|2017-10-16T13:40:47.010000|35.5527|11.5338|41.7|SURVEY-INGV||||ML|2.6|--|Canale di Sicilia meridionale (MARE)
17357901|2017-10-16T18:59:06.250000|42.5022|13.3293|12.3|SURVEY-INGV||||ML|2.6|--|3 km SE Capitignano (AQ)
